Vendor,Last Audit,Website Link,Vendor Contact,Vendor Contact Email,API functionality for bookings,API included in system costs,API Reporting,Webhooks / Event Triggers,Authentication & Security,Sandbox / Test Environment,W3C standards,WCAG 2.2 level AA,Channel Managers,Current Connections,Marketplace,B2B agent portal,Creation and tracking of affiliate sales,Product information availability,Product Information management and updates,Back Office booking functionality,Customised schedule/availability,Specific Days/Dates bookable,Specific time slots bookable,Manual Slot Management,Seating plans/Allocated seating,Etickets & Scanning,Gift Vouchers,Upselling,Separate merchandise/online store/stock control,Integrated Payment Solution,Payment Solution,Flexible Donations,CRM,E-communications/marketing,Memberships,Verified Reviews,Rule-based Pricing,Resource Management,Waivers,Offline Functionality,Reporting,Reporting - Quantity and Revenue split by source,Reporting Sources,Quantiy and Revenue Reporting Segmentation,Custom Reporting,Custom Reporting Charges,GA4 Tracking,Google Tag Manager,Google Ads,System Licenses,License Cost,Customisation,Website Integration,Website Integration Type,Website Documentation,Onboarding timeframe,Continuing Support,SLA,Business Continuity/Disaster Recovery,Pricing Model,Cloud Infrastructure,Scalability,"Emerging Standards (OCTO, Open Booking Exchange)",Open Data / Extensibility,Culturehost Connection
Checkfront,01.01.2025,https://checkfront.com,Sales,sales@checkfront.com,Yes,Yes,Yes,,,,No,Not Provided,Yes,"Get Your Guide, MyAllocator (Booking.com, Expedia, Airbnb), Tripadvisor Connect.",No,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, New option, Languages offered, No. of participants min/max., Not suitable/restrictions, Product Description, Product Name, Sustainability, Venue location/Meeting point, What to bring/additional requirements, What's included",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"Checkfront Payments
Stripe
Square
Full list here - https://support.checkfront.com/hc/en-us/articles/1260806092250-List-of-supported-payment-providers Adyen Authorize.net Bongloy Braintree Conekta DalPay Mastercard Payment Gateway Service Mollie Moneris NMI Paguelofacil PayFast PayFort PayPal Checkout Braintree - PayPal PayU South Africa PayUMoney Pesapal PesoPay Quickbooks Payments Opayo (Formerly known as Sagepay) SecurePay SiamPay Versa Pay Worldline",Yes,Third Party Integration,Yes,In Development,No,,Yes,Yes,No,Yes,Yes,"Direct/Back Office, OTA, Website","Booking Date, Product Category (General admission, Guided Tour etc), Distribution Channel, Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,In Development,Yes,Yes,No,Partially customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party","Technical Support Docs:
Booking Page Style Editor - https://support.checkfront.com/hc/en-us/articles/9723820015003-Trying-out-experimental-features-and-providing-feedback-with-Checkfront-Labs#:~:text=started%20with%20memberships%3F-,Booking%20Page%20Style%20Editor,-We%20have%20created
Custom CSS - https://support.checkfront.com/hc/en-us/articles/360007511753-Working-with-the-CSS-editor-for-booking-page-layouts
API Docs for developers - https://support.checkfront.com/hc/en-us/articles/360026709133-Working-with-Checkfront-Developer-tools-API","Depends on project size: small 1-6 weeks, medium 2-8 weeks, large 4-12 weeks","Dedicated Account Manager, Helpdesk, Knowledgebase, Printed/PDF support guides",Yes,Not Provided,Hybrid,Cloud,,,,
ClearBookings,01.01.2025,https://www.clearbookings.com,Ciarán Flynn,ciaran@clearbookings.com,Yes,Yes,In Development,,,,Yes,No,Yes,Get Your Guide,No,Yes,Yes,"What's included, Venue location/Meeting point, Product Name, Accessibility, Cancellation Policy, Expected Duration, Languages offered, New option, No. of participants min/max., Not suitable/restrictions, Product Description, Sustainability, What to bring/additional requirements",Yes,Yes,Yes,Yes,Yes,Yes,In development,Yes,Yes,Yes,No,Yes,"Global Payments
Stripe
Revolut
SumUp
Out of band / Offline
",Yes,Yes - Built In,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,"GA4 Website Revenue, Direct/Back Office, Website, OTA","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,Yes,Yes,Yes,Yes,No,No,Partially customisable,Yes,"Navigate to 3rd Party, Custom integrations on demand",Knowledge base articles,"ClearBookings offer both a managed service and a SaaS model, whereby customers can create their own account from the ClearBookings website and generate and manage their own event and activity booking pages via the ClearBookings Dashboard.  Depending on the knowledge and complexity of the ticketing/booking requirements, customer sites can be created within minutes.","Dedicated Account Manager, Helpdesk, Knowledgebase",Yes,Yes,Fee per ticket/booking,Cloud,,,,
DigiTickets,01.01.2025,https://www.digitickets.co.uk,www.digitickets.co.uk,info@digitickets.co.uk,Yes,Yes,Yes,,,,Yes,Yes,Yes,"Get Your Guide, Musement, Tiqets, Viator",No,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, New option, No. of participants min/max., Not suitable/restrictions, Product Name, Sustainability, Product Description, Venue location/Meeting point, What to bring/additional requirements, What's included",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Payyo, Stripe, Worldpay, Opayo and more. ",No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Direct/Back Office, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",No,N/A,Yes,Yes,Yes,No,No,Basic - brand colours and images,Yes,Navigate to 3rd Party,Support portal and full implementation via our Project Team.,2 weeks.,"Helpdesk, Dedicated Account Manager, Knowledgebase",Yes,Yes,Monthly Subscription,Cloud,,,,
Distinctive Systems Ltd,01.01.2025,https://www.distinctive-systems.com/,Catherine Whitehead,catherine.whitehead@distinctive-systems.com,No,Yes,No,,,,Yes,Not Provided,No,,No,Yes,Yes,Product Name,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"Credit/Debit Cards (with a third party payment provider)
Cash, Cheque (can be customised)
Gift Vouchers

Note: For the above question about onboarding, for the online bookings module we offer a pay later option where the customer rings up to pay, but to offer online credit card payments you can hook into third party payment providers (Trust Payments or Elavon Opayo).",No,No,No,No,No,,No,No,Yes,Yes,Yes,"Direct/Back Office, OTA, Website, GA4 Website Revenue","Booking Date, Visit Date",Yes,No,Yes,No,No,Yes,No,Partially customisable,Yes,Navigate to 3rd Party,The have an API guide for the limited API described in Web1 above.,"Depends on customer requirements, training a new customer is typically 1 or 2 days (spread over extended training sessions if remote)","Helpdesk, Knowledgebase",No,Not Provided,Hybrid,Software,,,,
Eola Ltd,01.01.2025,https://www.business.eola.co,Owen Davies,owen@eola.co,In Development,Yes,No,,,,Yes,Not Provided,In Development,,Yes,No,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, New option, No. of participants min/max., Not suitable/restrictions, Product Description, Product Name, Sustainability, Venue location/Meeting point, What to bring/additional requirements, What's included",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,"BACS, Card, Card reader (on site)",No,No,No,Yes,No,,Yes,Yes,Yes,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Product Category (General admission, Guided Tour etc), Visit Date",Yes,Yes,Yes,No,No,Yes,No,Basic - brand colours and images,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party",Technical documents and onboarding support,This has ranged from <24 hours to 2 months.  We are able to work with the partner to onboard them in a time to suit them.,"Dedicated Account Manager, Helpdesk, Knowledgebase",Yes,Not Provided,Hybrid,Cloud,,,,
Expian Ltd,01.01.2025,https://www.expian.io,Patrick Gray,patrick.gray@expian.io,Yes,No,Yes,,,,Yes,Yes,Yes,"Get Your Guide, Viator, Tiqets, Rezdy",Yes,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, New option, No. of participants min/max., Not suitable/restrictions, Product Description, Product Name, Sustainability, Venue location/Meeting point, What to bring/additional requirements, What's included",Yes,Yes,In Development,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"We can support multiple payment partners and will work with the attraction to find the most relevant one to suit their needs.

We are agnostic to all partners with the objective of finding the partner of best fit, and not determining who should be used as it gives us a commercial incentive.",Yes,Third Party Integration,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,Yes,Yes,Yes,In Development,No,No,Fully customisable,Yes,"Embedded lightframes, iframes","All customisation is managed by Expian.

We will work with the client's web partner and marketing teams to produce a booking flow aligned to the brand guidelines and checkout experience desired by the client. We can configure all elements of the flow, from the look and feel, to the physical steps of completing a booking.","3-6 months typically, depending on size and complexity of project. Longest project to date has been 12 months but that was for a very complex setup","Dedicated Account Manager, Helpdesk, Knowledgebase, Printed/PDF support guides",Yes,Yes,Fee per ticket/booking,Cloud,,,,
FareHarbor,01.01.2025,https://fareharbor.com/,Adrian Courtney,adrian.courtney@fareharbor.com,Yes,No,No,,,,Yes,No,Yes,"Get Your Guide, Musement, Tiqets, Viator, Expedia, Google Things to Do, Klook, Civitatis,",No,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, Product Name, Product Description, Not suitable/restrictions, Venue location/Meeting point, Sustainability, No. of participants min/max., What's included, What to bring/additional requirements, New option",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,In Development,Yes,"Fully integrated Stripe System - (includes interantional credit cards)
IDEAL - allows payments for European banks including BUNQ and Revolot ",Yes,Third Party Integration,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,No,Yes,No,No,Partially customisable,Yes,"Embedded lightframes, iframes etc ","https://help.fareharbor.com/website/integrations/tools/wordpress/
https://help.fareharbor.com/website/integrations/tools/wordpress-plugin/
https://help.fareharbor.com/website/integrations/","Once we have their product info, 5-10 days","Helpdesk, Knowledgebase",No,Yes,Fee per ticket/booking,Cloud,,,,
FuseMetrix Group,01.01.2025,https://www.fusemetrix.com/,Callum Knight,cknight@fusemetrix.com,Yes,Yes,In Development,,,,Yes,Not Provided,Yes,"Get Your Guide, Tiqets, Viator, Rezdy",No,Yes,Yes,"Product Name, No. of participants min/max., Product Description, Cancellation Policy",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fidelity,Yes,Yes - Built In,Yes,Yes,No,,Yes,Yes,No,Yes,Yes,"GA4 Website Revenue, Website, Direct/Back Office, OTA","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,Yes,Yes,Yes,Yes,No,No,Partially customisable,Yes,Navigate to 3rd Party,"With all our projects, we create the booking pages to look and feel like the customers main site so there is nothing for the customer to do.",8 to 12 weeks,Helpdesk,Yes,Not Provided,Monthly Subscription,Cloud,,,,
Future Ticketing,01.01.2025,https://www.futureticketing.ie,Stacey Forde,stacey@futureticketing.ie,Yes,Yes,Yes,,,,Yes,Not Provided,No,,Yes,No,No,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, No. of participants min/max., New option, Not suitable/restrictions, Product Description, Product Name, Sustainability, Venue location/Meeting point, What to bring/additional requirements, What's included",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Online payment processing - all card options. Payment options created on the dashboard and supported are : Invoice, Cheque, Cash, Voucher, EFT, Front Desk Sale, Prepaid, Pay On Arrival, Complimentary, Clover / Stripe Terminal",Yes,Third Party Integration,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,"Direct/Back Office, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",No,N/A,Not Provided,Yes,No,No,No,Fully customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party","Full how to guide on how to add the embed code to a client website, this will be shown live and additional video tutorials for assistance. As outlined, we can assist with creating a hosted page or setting up on our partner website www.willwego.com for those clients that do not have a website.

Additionally - see https://external.futureticketing.ie/ for Future Ticketing API documentation","Based on client requirements, can be as little as 1 hour or up to 3 working days for set up and go live","Dedicated Account Manager, Helpdesk, Knowledgebase",Yes,Not Provided,Fee per ticket/booking,Cloud,,,,
Great Visitor Experiences,01.01.2025,https://business.greatvisitorexperiences.com/,Ivan Tuohy,ivan@greatve.com,Yes,Yes,No,,,,Yes,Yes,In Development,,No,No,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, No. of participants min/max., Product Description, Product Name, Venue location/Meeting point, What to bring/additional requirements, What's included, Not suitable/restrictions",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,In Development,No,Yes,STRIPE,No,Yes - Built In,No,No,No,Yes,No,No,Yes,Yes,Yes,"OTA, Website","Product Category (General admission, Guided Tour etc), Visit Date, Ticket Type (Adult, Child, etc), Booking Date, Distribution Channel",Yes,Yes,Yes,Yes,Yes,No,No,Fully customisable,No,,Documentation is based on each client. Our internal team is available to assist with this task. ,5 working days,"Dedicated Account Manager, Helpdesk, Printed/PDF support guides",Yes,Yes,Fee per ticket/booking,Cloud,,,,
Merlinsoft Ltd,01.01.2025,https://merlintickets.co.uk/%20https://www.merlinsoft.co.uk/,Owen Gleadall,owen@merlinsoft.co.uk,Yes,Yes,Yes,,,,Yes,Yes,In Development,,No,In Development,Yes,"Accessibility, Expected Duration, No. of participants min/max., Not suitable/restrictions, Product Description, Product Name, Venue location/Meeting point, What to bring/additional requirements, What's included",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ApplePay, GooglePay, Stripe, EVOPay, Worldpay, Civica & Heycentric",Yes,Yes - Built In,Yes,Yes,Yes,Yes,Yes,In Development,Yes,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,No,No,No,No,Fully customisable,In development,,Tutorials with both Video and Download options,2 hours,"Helpdesk, Knowledgebase, Printed/PDF support guides",Yes,Yes,Fee per ticket/booking,Cloud,,,,
Moder.app (Moder Oy),01.01.2025,https://www.moder.fi/en,Joonas Kilponen,joonas@moder.fi,Yes,Yes,No,,,,In development,Not Provided,Yes,"Get Your Guide, Viator",Yes,No,Yes,Product Name,Yes,Yes,Yes,Yes,Yes,Yes,In development,No,In development,Yes,Yes,Yes,Stripe is our current payment vendor for online and POS. Stripe supports all normal credit card options and multiple local options. It also includes Apple pay and Google pay.,No,Yes - Built In,Yes,In Development,No,In Development,Yes,No,No,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Visitor Nationality, Visit Date",No,Yes,Yes,Yes,Yes,No,No,Basic - brand colours and images,Yes,"Navigate to 3rd Party, Widget","Demo widget & code and insturctions on how to customize brand colors, fonts, images and logos.",Between 1 - 6 weeks. Normal customer onboards in 4 weeks.,"Helpdesk, Knowledgebase, Printed/PDF support guides",Yes,Yes,Fee per ticket/booking,Cloud,,,,
